en,fr,it,de,es,ko,kana
Energy Root,Racinénergie,Radicenergia,Kraftwurzel,Raíz Energía,힘의뿌리,ちからのねっこ
Heal Powder,Poudre Soin,Polvocura,Heilpuder,Polvo Curación,만능가루,ばんのうごな
Revival Herb,Herbe Rappel,Vitalerba,Vitalkraut,Hierba Revivir,부활초,ふっかつそう
Ether,Huile,Etere,Äther,Éter,PP에이드,ピーピーエイド
Max Ether,Huile Max,Etere Max,Top-Äther,Éter Máximo,PP회복,ピーピーリカバー
Elixir,Élixir,Elisir,Elixier,Elixir,PP에이더,ピーピーエイダー
Max Elixir,Élixir Max,Elisir Max,Top-Elixier,Elixir Máximo,PP맥스,ピーピーマックス
Lava Cookie,Lava Cookie,Lavottino,Lavakeks,Galleta Lava,용암전병,フエンせんべい
Berry Juice,Jus de Baie,Succodibacca,Beerensaft,Zumo de Baya,나무열매쥬스,きのみジュース
Sacred Ash,Cendre Sacrée,Ceneremagica,Zauberasche,Ceniza Sagrada,성스러운분말,せいなるはい
HP Up,PV Plus,PS-Su,KP-Plus,Más PS,맥스업,マックスアップ
Protein,Protéine,Proteina,Protein,Proteína,타우린,タウリン
Iron,Fer,Ferro,Eisen,Hierro,사포닌,ブロムヘキシン
Carbos,Carbone,Carburante,Carbon,Carburante,알칼로이드,インドメタシン
Calcium,Calcium,Calcio,Kalzium,Calcio,리보플라빈,リゾチウム
Rare Candy,Super Bonbon,Caramella rara,Sonderbonbon,Caramelo Raro,이상한사탕,ふしぎなアメ
PP Up,PP Plus,PP-Su,AP-Plus,Más PP,포인트업,ポイントアップ
Zinc,Zinc,Zinco,Zink,Zinc,키토산,キトサン
PP Max,PP Max,PP-Max,AP-Top,PP Máximos,포인트맥스,ポイントマックス
Old Gateau,Vieux Gâteau,Dolce Gateau,Spezialität,Barrita Plus,숲의양갱,もりのヨウカン
Guard Spec.,Garde-Stats,Superguardia,Megablock,Protección X,이펙트가드,エフェクトガード
Dire Hit,Muscle +,Supercolpo,Angriffplus,Crítico X,크리티컬커터,クリティカット
X Attack,Attaque +,Attacco X,X-Angriff,Ataque X,플러스파워,プラスパワー
X Defense,Défense +,Difesa X,X-Verteidigung,Defensa X,디펜드업,ディフェンダー
X Speed,Vitesse +,Velocità X,X-Initiative,Velocidad X,스피드업,スピーダー
X Accuracy,Précision +,Precisione X,X-Genauigkeit,Precisión X,잘-맞히기,ヨクアタール
X Sp. Atk,Atq. Spé. +,Att. Speciale X,X-Sp.-Ang.,At. Especial X,스페셜업,スペシャルアップ
X Sp. Def,Déf. Spé. +,Dif. Speciale X,X-Sp.-Vert.,Def. Especial X,스페셜가드,スペシャルガード
Poké Doll,Poké Poupée,Poké Bambola,Poképuppe,Poké Muñeco,삐삐인형,ピッピにんぎょう
Fluffy Tail,Queue Skitty,Coda Skitty,Eneco-Rute,Cola Skitty,에나비꼬리,エネコのシッポ
Blue Flute,Flûte Bleue,Flauto Blu,Blaue Flöte,Flauta Azul,파랑비드로,あおいビードロ
Yellow Flute,Flûte Jaune,Flauto Giallo,Gelbe Flöte,Flauta Amarilla,노랑비드로,きいろビードロ
Red Flute,Flûte Rouge,Flauto Rosso,Rote Flöte,Flauta Roja,빨강비드로,あかいビードロ
Black Flute,Flûte Noire,Flauto Nero,Schwarze Flöte,Flauta Negra,검정비드로,くろいビードロ
White Flute,Flûte Blanche,Flauto Bianco,Weiße Flöte,Flauta Blanca,하양비드로,しろいビードロ
Shoal Salt,Sel Tréfonds,Sale Ondoso,Küstensalz,Sal Cardumen,여울소금,あさせのしお
Shoal Shell,CoquilleTréfonds,Gusciondoso,Küstenschale,Concha Cardumen,여울조개껍질,あさせのかいがら
Red Shard,Tesson Rouge,Coccio Rosso,Purpurstück,Parte Roja,빨강조각,あかいかけら
Blue Shard,Tesson Bleu,Coccio Blu,Indigostück,Parte Azul,파랑조각,あおいかけら
Yellow Shard,Tesson Jaune,Coccio Giallo,Gelbstück,Parte Amarilla,노랑조각,きいろいかけら
Green Shard,Tesson Vert,Coccio Verde,Grünstück,Parte Verde,초록조각,みどりのかけら
Super Repel,Super Repousse,Superrepellente,Superschutz,Superrepelente,실버스프레이,シルバースプレー
Max Repel,Repousse Max,Repellente Max,Top-Schutz,Repelente Máximo,골드스프레이,ゴールドスプレー
Escape Rope,Corde Sortie,Fune di fuga,Fluchtseil,Cuerda Huida,동굴탈출로프,あなぬけのヒモ
Repel,Repousse,Repellente,Schutz,Repelente,벌레회피스프레이,むしよけスプレー
Sun Stone,Pierre Soleil,Pietrasolare,Sonnenstein,Piedra Solar,태양의돌,たいようのいし
Moon Stone,Pierre Lune,Pietralunare,Mondstein,Piedra Lunar,달의돌,つきのいし
Fire Stone,Pierre Feu,Pietrafocaia,Feuerstein,Piedra Fuego,불꽃의돌,ほのおのいし
Thunder Stone,Pierre Foudre,Pietratuono,Donnerstein,Piedra Trueno,천둥의돌,かみなりのいし
Water Stone,Pierre Eau,Pietraidrica,Wasserstein,Piedra Agua,물의돌,みずのいし
Leaf Stone,Pierre Plante,Pietrafoglia,Blattstein,Piedra Hoja,리프의돌,リーフのいし
Tiny Mushroom,Petit Champi,Minifungo,Minipilz,Miniseta,작은버섯,ちいさなキノコ
Big Mushroom,Gros Champi,Grande Fungo,Riesenpilz,Seta Grande,큰버섯,おおきなキノコ
Pearl,Perle,Perla,Perle,Perla,진주,しんじゅ
Big Pearl,Grande Perle,Grande Perla,Riesenperle,Perla Grande,큰진주,おおきなしんじゅ
Stardust,Poussière Étoile,Polvostella,Sternenstaub,Polvo Estelar,별의모래,ほしのすな
Star Piece,Morceau d’Étoile,Pezzo Stella,Sternenstück,Trozo Estrella,별의조각,ほしのかけら
Nugget,Pépite,Pepita,Nugget,Pepita,금구슬,きんのたま
Heart Scale,Écaille Cœur,Squama Cuore,Herzschuppe,Escama Corazón,하트비늘,ハートのウロコ
Honey,Miel,Miele,Honig,Miel,달콤한꿀,あまいミツ
Growth Mulch,Fertipousse,Fertilrapido,Wachsmulch,Abono Rápido,무럭무럭비료,すくすくこやし
Damp Mulch,Fertihumide,Fertilidro,Feuchtmulch,Abono Lento,축축이비료,じめじめこやし
Stable Mulch,Fertistable,Fertilsaldo,Stabilmulch,Abono Fijador,오래오래비료,ながながこやし
Gooey Mulch,Fertiglu,Fertilcolla,Neumulch,Abono Brote,끈적끈적비료,ねばねばこやし
Root Fossil,Fossile Racine,Radifossile,Wurzelfossil,Fósil Raíz,뿌리화석,ねっこのカセキ
Claw Fossil,Fossile Griffe,Fossilunghia,Klauenfossil,Fósil Garra,발톱화석,ツメのカセキ
Helix Fossil,Nautile,Helixfossile,Helixfossil,Fósil Hélix,조개화석,かいのカセキ
Dome Fossil,Fossile Dôme,Domofossile,Domfossil,Fósil Domo,껍질화석,こうらのカセキ
Old Amber,Vieil Ambre,Ambra antica,Altbernstein,Ámbar Viejo,비밀의호박,ひみつのコハク
Armor Fossil,Fossile Armure,Fossilscudo,Panzerfossil,Fósil Coraza,방패의화석,たてのカセキ
Skull Fossil,Fossile Crâne,Fossilcranio,Kopffossil,Fósil Cráneo,두개의화석,ずがいのカセキ
Rare Bone,Os Rare,Osso Raro,Steinknochen,Hueso Raro,귀중한뼈,きちょうなホネ
Shiny Stone,Pierre Éclat,Pietrabrillo,Leuchtstein,Piedra Día,빛의돌,ひかりのいし
Dusk Stone,Pierre Nuit,Neropietra,Finsterstein,Piedra Noche,어둠의돌,やみのいし
Dawn Stone,Pierre Aube,Pietralbore,Funkelstein,Piedra Alba,각성의돌,めざめいし
Oval Stone,Pierre Ovale,Pietraovale,Ovaler Stein,Piedra Oval,동글동글돌,まんまるいし
Odd Keystone,Clé de Voûte,Roccianima,Spiritkern,Piedra Espíritu,쐐기돌,かなめいし
Griseous Orb,Orbe Platiné,Grigiosfera,Platinum-Orb,Griseosfera,백금옥,はっきんだま
Tea,Thé,Tè,Tee,Té,차,おちゃ
???,???,???,???,(?),???,？？？
Autograph,Dédicace de Bob,Autografo,Autogramm,Autógrafo,마티스의사인,マチスのサイン
Douse Drive,Module Aqua,Idromodulo,Aquamodul,HidroROM,아쿠아카세트,アクアカセット
Shock Drive,Module Choc,Voltmodulo,Blitzmodul,FulgoROM,번개카세트,イナズマカセット
Burn Drive,Module Pyro,Piromodulo,Flammenmodul,PiroROM,블레이즈카세트,ブレイズカセット
Chill Drive,Module Cryo,Gelomodulo,Gefriermodul,CrioROM,프리즈카세트,フリーズカセット
???,???,???,???,(?),???,？？？
Pokémon Box Link,Boîte Pokémon,Box Pokémon,Pokémon-Box,Caja de Pokémon,포켓몬 박스,ポケモンボックス
Medicine Pocket,Trousse de Soins,Tasca rimedi,Medizintasche,Botiquín,회복포켓,かいふくポケット
TM Case,Boîte CT,Porta MT,TM-Box,Estuche de MT,기술머신케이스,わざマシンケース
Candy Jar,Bonbonnière,Portacaramelle,Bonbonglas,Tarro de Caramelos,사탕보틀,アメボトル
Power-Up Pocket,Poche à Renforts,Tasca potenziam.,Stärkungstasche,Bolsillo Mejoras,강화포켓,きょうかポケット
Clothing Trunk,Malle à Costumes,Valigia vestiti,Klamottenkoffer,Maleta,옷갈아입기트렁크,おきがえトランク
Catching Pocket,Poche de Capture,Tasca cattura,Fangtasche,Bolsillo Captura,포획포켓,ほかくポケット
Battle Pocket,Poche de Combat,Tasca lotta,Kampftasche,Bolsillo Combate,배틀포켓,バトルポケット
???,???,???,???,(?),???,？？？
???,???,???,???,(?),???,？？？
???,???,???,???,(?),???,？？？
???,???,???,???,(?),???,？？？
???,???,???,???,(?),???,？？？
Sweet Heart,Chococœur,Dolcecuore,Herzkonfekt,Corazón Dulce,하트스위트,ハートスイーツ
Adamant Orb,Orbe Adamant,Adamasfera,Adamant-Orb,Diamansfera,금강옥,こんごうだま
Lustrous Orb,Orbe Perlé,Splendisfera,Weiß-Orb,Lustresfera,백옥,しらたま
Greet Mail,Lettre Salut,Messaggio Inizio,Grußbrief,Carta Inicial,첫메일,はじめてメール
Favored Mail,Lettre Fan,Messaggio TVB,Faiblebrief,Carta Favoritos,애호메일,だいすきメール
RSVP Mail,Lettre Invit,Messaggio Invito,Einladebrief,Carta Invitar,권유메일,おさそいメール
Thanks Mail,Lettre Merci,Messaggio Grazie,Dankesbrief,Carta Gracias,감사메일,かんしゃメール
Inquiry Mail,Lettre Demande,Messaggio Chiedi,Fragebrief,Carta Pregunta,질문메일,しつもんメール
Like Mail,Lettre Avis,Mess. Sugg.,Insiderbrief,Carta Gustos,추천메일,おすすめメール
Reply Mail,Lettre Réponse,Mess. Risp.,Rückbrief,Carta Respuesta,답장메일,おかえしメール
Bridge Mail S,Lettre Pont S,Mess. Frec.,Brückbrief H,Carta Puente S,브리지메일S,ブリッジメールＳ
Bridge Mail D,Lettre Pont Y,Mess. Libec.,Brückbrief M,Carta Puente F,브리지메일M,ブリッジメールＨ
Bridge Mail T,Lettre Pont F,Mess. Prop.,Brückbrief Z,Carta Puente A,브리지메일C,ブリッジメールＣ
Bridge Mail V,Lettre Pont H,Mess. Vill.,Brückbrief D,Carta Puente V,브리지메일V,ブリッジメールＶ
Bridge Mail M,Lettre Pont I,Mess. Merav.,Brückbrief W,Carta Puente P,브리지메일W,ブリッジメールＷ
Cheri Berry,Baie Ceriz,Baccaliegia,Amrenabeere,Baya Zreza,버치열매,クラボのみ
Chesto Berry,Baie Maron,Baccastagna,Maronbeere,Baya Atania,유루열매,カゴのみ
Pecha Berry,Baie Pêcha,Baccapesca,Pirsifbeere,Baya Meloc,복슝열매,モモンのみ
Rawst Berry,Baie Fraive,Baccafrago,Fragiabeere,Baya Safre,복분열매,チーゴのみ
Aspear Berry,Baie Willia,Baccaperina,Wilbirbeere,Baya Perasi,배리열매,ナナシのみ
Leppa Berry,Baie Mepo,Baccamela,Jonagobeere,Baya Zanama,과사열매,ヒメリのみ
Oran Berry,Baie Oran,Baccarancia,Sinelbeere,Baya Aranja,오랭열매,オレンのみ
Persim Berry,Baie Kika,Baccaki,Persimbeere,Baya Caquic,시몬열매,キーのみ
Lum Berry,Baie Prine,Baccaprugna,Prunusbeere,Baya Ziuela,리샘열매,ラムのみ
Sitrus Berry,Baie Sitrus,Baccacedro,Tsitrubeere,Baya Zidra,자뭉열매,オボンのみ
Figy Berry,Baie Figuy,Baccafico,Giefebeere,Baya Higog,무화열매,フィラのみ
Wiki Berry,Baie Wiki,Baccakiwi,Wikibeere,Baya Wiki,위키열매,ウイのみ
Mago Berry,Baie Mago,Baccamango,Magobeere,Baya Ango,마고열매,マゴのみ
Aguav Berry,Baie Gowav,Baccaguava,Gauvebeere,Baya Guaya,아바열매,バンジのみ
Iapapa Berry,Baie Papaya,Baccapaia,Yapabeere,Baya Pabaya,파야열매,イアのみ
Razz Berry,Baie Framby,Baccalampon,Himmihbeere,Baya Frambu,라즈열매,ズリのみ
Bluk Berry,Baie Remu,Baccamora,Morbbeere,Baya Oram,블리열매,ブリーのみ
Nanab Berry,Baie Nanab,Baccabana,Nanabbeere,Baya Latano,나나열매,ナナのみ
Wepear Berry,Baie Repoi,Baccapera,Nirbebeere,Baya Peragu,서배열매,セシナのみ
Pinap Berry,Baie Nanana,Baccananas,Sananabeere,Baya Pinia,파인열매,パイルのみ
Pomeg Berry,Baie Grena,Baccagrana,Granabeere,Baya Grana,유석열매,ザロクのみ
Kelpsy Berry,Baie Alga,Baccalga,Setangbeere,Baya Algama,시마열매,ネコブのみ
Qualot Berry,Baie Qualot,Baccaloquat,Qualotbeere,Baya Ispero,파비열매,タポルのみ
Hondew Berry,Baie Lonme,Baccamelon,Honmelbeere,Baya Meluce,로매열매,ロメのみ
Grepa Berry,Baie Résin,Baccauva,Labrusbeere,Baya Uvav,또뽀열매,ウブのみ
Tamato Berry,Baie Tamato,Baccamodoro,Tamotbeere,Baya Tamate,토망열매,マトマのみ
Cornn Berry,Baie Siam,Baccavena,Saimbeere,Baya Mais,수숙열매,モコシのみ
Magost Berry,Baie Mangou,Baccagostan,Magostbeere,Baya Aostan,고스티열매,ゴスのみ
Rabuta Berry,Baie Rabuta,Baccambutan,Rabutabeere,Baya Rautan,라부탐열매,ラブタのみ
Nomel Berry,Baie Tronci,Baccalemon,Tronzibeere,Baya Monli,노멜열매,ノメルのみ
Spelon Berry,Baie Kiwan,Baccamelos,Kiwanbeere,Baya Wikano,메호키열매,ノワキのみ
Pamtre Berry,Baie Palma,Baccapalma,Pallmbeere,Baya Plama,자야열매,シーヤのみ
Watmel Berry,Baie Stekpa,Baccacomero,Wasmelbeere,Baya Sambia,슈박열매,カイスのみ
Durin Berry,Baie Durin,Baccadurian,Durinbeere,Baya Rudion,두리열매,ドリのみ
Belue Berry,Baie Myrte,Baccartillo,Myrtilbeere,Baya Andano,루베열매,ベリブのみ
Occa Berry,Baie Chocco,Baccacao,Koakobeere,Baya Caoca,오카열매,オッカのみ
Passho Berry,Baie Pocpoc,Baccapasflo,Foepasbeere,Baya Pasio,꼬시개열매,イトケのみ
Wacan Berry,Baie Parma,Baccaparmen,Kerzalbeere,Baya Gualot,초나열매,ソクノのみ
Rindo Berry,Baie Ratam,Baccarindo,Grindobeere,Baya Tamar,린드열매,リンドのみ
Yache Berry,Baie Nanone,Baccamoya,Kiroyabeere,Baya Rimoya,플카열매,ヤチェのみ
Chople Berry,Baie Pomroz,Baccarosmel,Rospelbeere,Baya Pomaro,로플열매,ヨプのみ
Kebia Berry,Baie Kébia,Baccakebia,Grarzbeere,Baya Kebia,으름열매,ビアーのみ
Shuca Berry,Baie Jouca,Baccanaca,Schukebeere,Baya Acardo,슈캐열매,シュカのみ
Coba Berry,Baie Cobaba,Baccababa,Kobabeere,Baya Kouba,바코열매,バコウのみ
Payapa Berry,Baie Yapap,Baccapayapa,Pyapabeere,Baya Payapa,야파열매,ウタンのみ
Tanga Berry,Baie Panga,Baccaitan,Tanigabeere,Baya Yecana,리체열매,タンガのみ
Charti Berry,Baie Charti,Baccaciofo,Chiaribeere,Baya Alcho,루미열매,ヨロギのみ
Kasib Berry,Baie Sédra,Baccacitrus,Zitarzbeere,Baya Drasi,수불열매,カシブのみ
Haban Berry,Baie Fraigo,Baccahaban,Terirobeere,Baya Anjiro,하반열매,ハバンのみ
Colbur Berry,Baie Lampou,Baccaxan,Burleobeere,Baya Dillo,마코열매,ナモのみ
Babiri Berry,Baie Babiri,Baccababiri,Babiribeere,Baya Baribá,바리비열매,リリバのみ
Chilan Berry,Baie Zalis,Baccacinlan,Latchibeere,Baya Chilan,카리열매,ホズのみ
Liechi Berry,Baie Lichii,Baccalici,Lydzibeere,Baya Lichi,치리열매,チイラのみ
Ganlon Berry,Baie Lingan,Baccalongan,Linganbeere,Baya Gonlan,용아열매,リュガのみ
Salac Berry,Baie Sailak,Baccasalak,Salkabeere,Baya Aslac,캄라열매,カムラのみ
Petaya Berry,Baie Pitaye,Baccapitaya,Tahaybeere,Baya Yapati,야타비열매,ヤタピのみ
Apicot Berry,Baie Abriko,Baccacocca,Apikobeere,Baya Aricoc,규살열매,ズアのみ
Lansat Berry,Baie Lansat,Baccalangsa,Lansatbeere,Baya Zonlan,랑사열매,サンのみ
Starf Berry,Baie Frista,Baccambola,Krambobeere,Baya Arabol,스타열매,スターのみ
Enigma Berry,Baie Enigma,Baccaenigma,Enigmabeere,Baya Enigma,의문열매,ナゾのみ
Micle Berry,Baie Micle,Baccaracolo,Wunfrubeere,Baya Lagro,미클열매,ミクルのみ
Custap Berry,Baie Chérim,Baccacrela,Eipfelbeere,Baya Chiri,애슈열매,イバンのみ
Jaboca Berry,Baie Jaboca,Baccajaba,Jabocabeere,Baya Jaboca,자보열매,ジャポのみ
Rowap Berry,Baie Pommo,Baccaroam,Roselbeere,Baya Magua,애터열매,レンブのみ
Bright Powder,Poudre Claire,Luminpolvere,Blendpuder,Polvo Brillo,반짝가루,ひかりのこな
White Herb,Herbe Blanche,Erbachiara,Schlohkraut,Hierba Blanca,하양허브,しろいハーブ
Macho Brace,Bracelet Macho,Crescicappa,Machoband,Brazal Firme,교정깁스,きょうせいギプス
Exp. Share,Multi Exp,Condividi esp.,EP-Teiler,Repartir Exp,학습장치,がくしゅうそうち
Quick Claw,Vive Griffe,Rapidartigli,Flinkklaue,Garra Rápida,선제공격손톱,せんせいのツメ
Soothe Bell,Grelot Zen,Calmanella,Sanftglocke,Cascabel Alivio,평온의방울,やすらぎのすず
Mental Herb,Herbe Mental,Mentalerba,Mentalkraut,Hierba Mental,멘탈허브,メンタルハーブ
Choice Band,Bandeau Choix,Bendascelta,Wahlband,Cinta Elección,구애머리띠,こだわりハチマキ
King’s Rock,Roche Royale,Roccia di Re,King-Stein,Roca del Rey,왕의징표석,おうじゃのしるし
Silver Powder,Poudre Argentée,Argenpolvere,Silberstaub,Polvo Plata,은빛가루,ぎんのこな
Amulet Coin,Pièce Rune,Monetamuleto,Münzamulett,Moneda Amuleto,부적금화,おまもりこばん
Cleanse Tag,Rune Purifiante,Velopuro,Schutzband,Amuleto,순결의부적,きよめのおふだ
Soul Dew,Rosée Âme,Cuorugiada,Seelentau,Rocío Bondad,마음의물방울,こころのしずく
Deep Sea Tooth,Dent Océan,Dente Abissi,Abysszahn,Diente Marino,심해의이빨,しんかいのキバ
Deep Sea Scale,Écaille Océan,Squamabissi,Abyssplatte,Escama Marina,심해의비늘,しんかいのウロコ
Smoke Ball,Boule Fumée,Palla Fumo,Rauchball,Bola de Humo,연막탄,けむりだま
Everstone,Pierre Stase,Pietrastante,Ewigstein,Piedra Eterna,변함없는돌,かわらずのいし
Focus Band,Bandeau,Bandana,Fokusband,Cinta Focus,기합의머리띠,きあいのハチマキ
Lucky Egg,Œuf Chance,Fortunuovo,Glücks-Ei,Huevo Suerte,행복의알,しあわせタマゴ
Scope Lens,Lentilscope,Mirino,Scope-Linse,Periscopio,초점렌즈,ピントレンズ
Metal Coat,Peau Métal,Metalcoperta,Metallmantel,Revest. Metálico,금속코트,メタルコート
Leftovers,Restes,Avanzi,Überreste,Restos,먹다남은음식,たべのこし
Dragon Scale,Écaille Draco,Squama Drago,Drachenhaut,Escama Dragón,용의비늘,りゅうのウロコ
Light Ball,Balle Lumière,Elettropalla,Kugelblitz,Bola Luminosa,전기구슬,でんきだま
Soft Sand,Sable Doux,Sabbia Soffice,Pudersand,Arena Fina,부드러운모래,やわらかいすな
Hard Stone,Pierre Dure,Pietradura,Granitstein,Piedra Dura,딱딱한돌,かたいいし
Miracle Seed,Graine Miracle,Miracolseme,Wundersaat,Semilla Milagro,기적의씨,きせきのタネ
Black Glasses,Lunettes Noires,Occhialineri,Schattenbrille,Gafas de Sol,검은안경,くろいメガネ
Black Belt,Ceinture Noire,Cinturanera,Schwarzgurt,Cinturón Negro,검은띠,くろおび
Magnet,Aimant,Calamita,Magnet,Imán,자석,じしゃく
Mystic Water,Eau Mystique,Acqua Magica,Zauberwasser,Agua Mística,신비의물방울,しんぴのしずく
Sharp Beak,Bec Pointu,Beccaffilato,Spitzer Schnabel,Pico Afilado,예리한부리,するどいくちばし
Poison Barb,Pic Venin,Velenaculeo,Giftstich,Flecha Venenosa,독바늘,どくバリ
Never-Melt Ice,Glace Éternelle,Gelomai,Ewiges Eis,Antiderretir,녹지않는얼음,とけないこおり
Spell Tag,Rune Sort,Spettrotarga,Bannsticker,Hechizo,저주의부적,のろいのおふだ
Twisted Spoon,Cuillère Tordue,Cucchiaio Torto,Krummlöffel,Cuchara Torcida,휘어진스푼,まがったスプーン
Charcoal,Charbon,Carbonella,Holzkohle,Carbón,목탄,もくたん
Dragon Fang,Croc Dragon,Dentedidrago,Drachenzahn,Colmillo Dragón,용의이빨,りゅうのキバ
Silk Scarf,Mouchoir Soie,Sciarpa Seta,Seidenschal,Pañuelo de Seda,실크스카프,シルクのスカーフ
Upgrade,Améliorator,Upgrade,Up-Grade,Mejora,업그레이드,アップグレード
Shell Bell,Grelot Coque,Conchinella,Muschelglocke,Cascabel Concha,조개껍질방울,かいがらのすず
Sea Incense,Encens Mer,Marearoma,Seerauch,Incienso Marino,바닷물향로,うしおのおこう
Lax Incense,Encens Doux,Distraroma,Laxrauch,Incienso Suave,무사태평향로,のんきのおこう
Lucky Punch,Poing Chance,Fortunpugno,Lucky Punch,Puño Suerte,럭키펀치,ラッキーパンチ
Metal Powder,Poudre Métal,Metalpolvere,Metallstaub,Polvo Metálico,금속파우더,メタルパウダー
Thick Club,Masse Os,Ossospesso,Kampfknochen,Hueso Grueso,굵은뼈,ふといホネ
Leek,Poireau,Gambo,Lauchstange,Puerro,대파,ながねぎ
Red Scarf,Foulard Rouge,Fascia Rossa,Roter Schal,Pañuelo Rojo,빨강밴드,あかいバンダナ
Blue Scarf,Foulard Bleu,Fascia Blu,Blauer Schal,Pañuelo Azul,파랑밴드,あおいバンダナ
Pink Scarf,Foulard Rose,Fascia Rosa,Rosa Schal,Pañuelo Rosa,분홍밴드,ピンクのバンダナ
Green Scarf,Foulard Vert,Fascia Verde,Grüner Schal,Pañuelo Verde,초록밴드,みどりのバンダナ
Yellow Scarf,Foulard Jaune,Fascia Gialla,Gelber Schal,Pañuelo Amarillo,노랑밴드,きいろのバンダナ
Wide Lens,Loupe,Grandelente,Großlinse,Lupa,광각렌즈,こうかくレンズ
Muscle Band,Bandeau Muscle,Muscolbanda,Muskelband,Cinta Fuerte,힘의머리띠,ちからのハチマキ
Wise Glasses,Lunettes Sages,Saviocchiali,Schlaubrille,Gafas Especiales,박식안경,ものしりメガネ
Expert Belt,Ceinture Pro,Abilcintura,Expertengurt,Cinta Experto,달인의띠,たつじんのおび
Light Clay,Lumargile,Creta Luce,Lichtlehm,Refleluz,빛의점토,ひかりのねんど
Life Orb,Orbe Vie,Assorbisfera,Leben-Orb,Vidasfera,생명의구슬,いのちのたま
Power Herb,Herbe Pouvoir,Vigorerba,Energiekraut,Hierba Única,파워풀허브,パワフルハーブ
Toxic Orb,Orbe Toxique,Tossicsfera,Toxik-Orb,Toxisfera,맹독구슬,どくどくだま
Flame Orb,Orbe Flamme,Fiammosfera,Heiß-Orb,Llamasfera,화염구슬,かえんだま
Quick Powder,Poudre Vite,Velopolvere,Flottstaub,Polvo Veloz,스피드파우더,スピードパウダー
Focus Sash,Ceinture Force,Focalnastro,Fokusgurt,Banda Focus,기합의띠,きあいのタスキ
Zoom Lens,Lentille Zoom,Zoomlente,Zoomlinse,Telescopio,포커스렌즈,フォーカスレンズ
Metronome,Métronome,Plessimetro,Metronom,Metrónomo,메트로놈,メトロノーム
